symbol,sector
RELIANCE,Energy
ONGC,Energy
BPCL,Energy
IOC,Energy
GAIL,Energy
PETRONET,Energy
ADANIENSOL,Energy
NTPC,Power
POWERGRID,Power
TATAPOWER,Power
NHPC,Power
SJVN,Power
ADANIPOWER,Power
ADANIGREEN,Power
TCS,IT
INFY,IT
HCLTECH,IT
WIPRO,IT
TECHM,IT
LTIM,IT
PERSISTENT,IT
COFORGE,IT
MPHASIS,IT
LTTS,IT
KPITTECH,IT
TATAELXSI,IT
CYIENT,IT
OFSS,IT
HDFCBANK,Banking
ICICIBANK,Banking
SBIN,Banking
KOTAKBANK,Banking
AXISBANK,Banking
INDUSINDBK,Banking
BANKBARODA,Banking
PNB,Banking
CANBK,Banking
IDFCFIRSTB,Banking
FEDERALBNK,Banking
AUBANK,Banking
BANDHANBNK,Banking
RBLBANK,Banking
INDIANB,Banking
UNIONBANK,Banking
YESBANK,Banking
BAJFINANCE,NBFC/Finance
BAJAJFINSV,NBFC/Finance
SHRIRAMFIN,NBFC/Finance
CHOLAFIN,NBFC/Finance
MUTHOOTFIN,NBFC/Finance
LTF,NBFC/Finance
SBICARD,NBFC/Finance
PFC,NBFC/Finance
RECLTD,NBFC/Finance
IRFC,NBFC/Finance
ABCAPITAL,NBFC/Finance
M&MFIN,NBFC/Finance
LICI,Insurance
SBILIFE,Insurance
HDFCLIFE,Insurance
ICICIPRULI,Insurance
ICICIGI,Insurance
MFSL,Insurance
SUNPHARMA,Pharma
DRREDDY,Pharma
CIPLA,Pharma
DIVISLAB,Pharma
TORNTPHARM,Pharma
LUPIN,Pharma
AUROPHARMA,Pharma
ALKEM,Pharma
ZYDUSLIFE,Pharma
BIOCON,Pharma
GLAND,Pharma
LAURUSLABS,Pharma
IPCALAB,Pharma
GLENMARK,Pharma
NATCOPHARM,Pharma
ABBOTINDIA,Pharma
GRANULES,Pharma
HONASA,Consumer
HINDUNILVR,Consumer
ITC,Consumer
NESTLEIND,Consumer
BRITANNIA,Consumer
DABUR,Consumer
GODREJCP,Consumer
MARICO,Consumer
COLPAL,Consumer
TATACONSUM,Consumer
VBL,Consumer
UBL,Consumer
RADICO,Consumer
EMAMILTD,Consumer
JUBLFOOD,Consumer
DEVYANI,Consumer
WESTLIFE,Consumer
PATANJALI,Consumer
GILLETTE,Consumer
MARUTI,Auto
TATAMOTORS,Auto
M&M,Auto
BAJAJ-AUTO,Auto
EICHERMOT,Auto
HEROMOTOCO,Auto
